City,Latitude,Longitude,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed (mph),Country,Date
Ariquemes,-9.91,-63.04,90.41,42,70,3.36,BR,1593537714
Grindavik,63.84,-22.43,50.0,87,90,12.75,IS,1593537835
Umm Kaddadah,13.6,26.69,100.65,18,34,7.65,SD,1593537835
Ust'-Kut,56.79,105.77,65.88,63,90,2.33,RU,1593537836
Shahreza,32.03,51.88,80.17,16,0,4.43,IR,1593537836
Foumban,5.73,10.9,65.88,96,97,1.61,CM,1593537836
Coquimbo,-29.95,-71.34,59.0,77,38,10.29,CL,1593537836
Roald,62.58,6.13,51.8,76,75,14.99,NO,1593537836
Tarsus,36.92,34.88,80.6,78,40,8.05,TR,1593537836
Portland,45.52,-122.68,66.0,72,75,4.7,US,1593537724
Lorengau,-2.02,147.27,82.24,73,100,6.42,PG,1593537836
Beira,-19.84,34.84,73.0,68,20,9.17,MZ,1593537836
Reconquista,-29.15,-59.65,57.56,63,86,17.98,AR,1593537836
Maputo,-25.97,32.59,71.01,56,75,12.75,MZ,1593537706
Banda Aceh,5.56,95.32,80.01,78,87,3.11,ID,1593537836
Baturaja,-4.13,104.17,72.73,95,2,2.15,ID,1593537837
Neiafu,-18.65,-173.98,75.2,94,20,10.8,TO,1593537837
Tabou,4.42,-7.35,78.03,78,53,11.12,CI,1593537837
Bolshaya Martynovka,47.27,41.67,72.73,62,12,7.74,RU,1593537837
Tanete,-3.94,119.78,73.78,88,22,4.74,ID,1593537837
Sambava,-14.27,50.17,72.82,77,0,13.65,MG,1593537837
Bač,45.39,19.24,82.0,42,0,10.29,RS,1593537837
Kimbe,-5.55,150.14,74.88,89,82,4.09,PG,1593537837
Marawi,8.0,124.29,75.99,92,37,5.99,PH,1593537837
Mandera,3.94,41.87,87.8,43,89,17.27,KE,1593537837
Yumen,40.28,97.2,70.32,31,0,7.09,CN,1593537837
Kalmunai,7.42,81.82,83.34,68,100,10.11,LK,1593537837
Shaowu,27.34,117.48,75.99,87,100,0.38,CN,1593537837
Saint-Augustin,51.23,-58.65,75.22,53,11,13.71,CA,1593537838
Alihe,50.57,123.72,58.32,74,0,3.11,CN,1593537838
Havelock,34.88,-76.9,89.6,46,75,5.82,US,1593537838
Kailua,21.4,-157.74,78.8,78,20,11.41,US,1593537838
Williams Lake,52.14,-122.14,50.0,81,90,11.41,CA,1593537838
Alta Floresta,-9.88,-56.09,95.0,34,40,4.7,BR,1593537838
Paldiski,59.36,24.05,60.8,82,77,11.41,EE,1593537838
Nelson Bay,-32.72,152.15,45.0,100,0,5.82,AU,1593537838
Vero Beach,27.64,-80.4,93.99,46,40,9.17,US,1593537838
Jiexiu,37.02,111.91,70.68,58,12,1.1,CN,1593537838
Ketchikan,55.34,-131.65,59.0,67,75,9.17,US,1593537838
Anloga,5.79,0.9,78.8,83,20,10.29,GH,1593537839
Sāl,32.57,35.91,77.0,47,0,2.24,JO,1593537839
Broome,42.25,-75.83,73.99,68,75,10.29,US,1593537839
Santa Isabel Rio Negro,-0.41,-65.02,89.33,57,70,2.17,BR,1593537839
Sibolga,1.74,98.78,78.13,84,92,4.05,ID,1593537839
Chara,56.91,118.26,64.53,45,57,3.04,RU,1593537839
Karia,11.73,11.16,91.13,38,68,9.24,NG,1593537839
West Wendover,40.74,-114.07,66.2,37,75,12.75,US,1593537839
Los Llanos de Aridane,28.66,-17.92,75.2,69,75,17.22,ES,1593537839
Lieksa,63.32,30.02,62.06,82,100,19.64,FI,1593537839
Mt. Pleasant,32.79,-79.86,93.99,59,1,8.05,US,1593537617
Khromtau,50.25,58.43,57.42,60,51,11.72,KZ,1593537839
Tocopilla,-22.09,-70.2,69.58,41,6,5.23,CL,1593537840
Baringo,0.47,35.97,73.69,48,30,4.27,KE,1593537840
Makungu,-8.73,35.28,59.88,78,53,2.77,TZ,1593537840
Jacareacanga,-6.22,-57.75,91.4,55,20,4.7,BR,1593537603
Skvyra,49.73,29.67,70.07,81,21,6.87,UA,1593537840
Zaragoza,41.66,-0.88,93.2,28,20,10.29,ES,1593537840
Santa Lucía,27.91,-15.54,77.0,61,20,27.51,ES,1593537840
Novogornyy,55.63,60.79,50.0,87,40,6.71,RU,1593537840
Denpasar,-8.65,115.22,80.6,94,40,10.29,ID,1593537811
Ayan,56.45,138.17,50.61,93,100,11.36,RU,1593537840
Kushnarenkovo,55.1,55.35,57.0,66,25,6.71,RU,1593537840
Lázaro Cárdenas,17.96,-102.2,88.02,57,23,4.12,MX,1593537679
Syava,58.01,46.32,54.7,72,91,4.03,RU,1593537840
Ishigaki,24.34,124.16,84.52,86,100,17.16,JP,1593537841
Bara,10.37,10.73,85.6,53,45,8.03,NG,1593537841
São João dos Patos,-6.5,-43.7,89.55,41,4,6.71,BR,1593537841
Panguna,-6.32,155.48,67.53,100,98,1.05,PG,1593537842
Pyn U Lwin,22.03,96.47,69.8,97,100,3.15,MM,1593537842
Dickinson,29.46,-95.05,91.0,62,75,12.75,US,1593537673
Tanabe,33.73,135.37,78.01,87,100,5.01,JP,1593537842
Impfondo,1.64,18.07,74.91,83,73,2.08,CG,1593537842
Prince Rupert,54.32,-130.32,57.2,82,90,5.82,CA,1593537842
Departamento de Maldonado,-34.67,-54.92,55.4,93,90,31.09,UY,1593537843
Carutapera,-1.2,-46.02,81.39,85,4,6.71,BR,1593537843
Muncar,-8.43,114.33,76.1,88,47,4.72,ID,1593537843
Khorinsk,52.17,109.77,60.33,80,96,4.72,RU,1593537843
Bandarbeyla,9.49,50.81,81.57,72,81,33.08,SO,1593537843
Muros,42.78,-9.06,81.0,47,3,4.0,ES,1593537843
Prachuap Khiri Khan,11.82,99.78,80.15,80,100,5.03,TH,1593537843
Aktau,43.65,51.2,71.6,64,0,6.71,KZ,1593537843
São Félix do Xingu,-6.64,-51.99,90.64,43,12,4.36,BR,1593537843
Kemlya,54.7,45.24,54.7,74,37,4.59,RU,1593537843
Lubango,-14.92,13.49,61.72,30,0,5.53,AO,1593537843
Auki,-8.77,160.7,76.6,83,89,5.03,SB,1593537843
Erie,42.77,-78.67,80.01,54,75,9.17,US,1593537716
Dhārchula,29.85,80.53,68.9,75,57,0.87,IN,1593537844
Tiarei,-17.53,-149.33,71.6,78,20,4.7,PF,1593537784
Ada,43.42,-116.13,60.8,72,75,3.36,US,1593537844
Emerald,-23.53,148.17,60.8,87,90,5.82,AU,1593537844
Broadstairs,51.36,1.44,64.99,79,100,5.99,GB,1593537844
Winnemucca,40.97,-117.74,66.2,32,1,10.4,US,1593537844
Wu’an,31.68,112.0,78.31,87,27,0.78,CN,1593537844
Giyani,-23.3,30.72,64.38,52,69,6.31,ZA,1593537844
Porto-Novo,6.5,2.6,82.4,78,40,14.99,BJ,1593537844
Dedenevo,56.25,37.52,69.8,46,60,11.18,RU,1593537844
Klichka,50.45,118.0,59.59,80,83,5.14,RU,1593537844
Adré,13.47,22.2,77.0,68,61,10.45,TD,1593537845
Yishui,35.78,118.63,67.3,66,0,3.33,CN,1593537845
Sisimiut,66.94,-53.67,53.06,52,97,18.14,GL,1593537845
Anadyr,64.75,177.48,42.8,87,75,4.47,RU,1593537845
Chifeng,42.27,118.96,68.47,66,94,3.18,CN,1593537845
Angoche,-16.23,39.91,72.61,78,4,10.16,MZ,1593537845
Vila,42.03,-8.16,84.0,58,26,10.0,PT,1593537845
Tomohon,1.33,124.84,75.2,94,20,2.24,ID,1593537845
Kodinsk,58.69,99.18,60.31,93,38,1.45,RU,1593537845
Kamenskiy,50.89,45.49,61.11,73,40,6.55,RU,1593537845
Waconia,44.85,-93.79,82.0,84,25,14.0,US,1593537845
Mayma,52.02,85.91,60.08,71,100,3.67,RU,1593537845
Rundu,-17.93,19.77,71.6,18,0,4.7,NA,1593537846
Freeport,40.66,-73.58,77.0,64,90,9.17,US,1593537846
Arrondissement de Pau,43.42,-0.58,82.4,42,1,4.7,FR,1593537846
Paidha,2.42,30.99,63.55,85,36,3.44,UG,1593537846
Shimoda,34.67,138.95,72.0,92,100,1.01,JP,1593537846
Victor Harbor,-35.57,138.62,53.01,60,9,5.01,AU,1593537846
Sungai Penuh,-2.08,101.38,63.07,91,8,4.16,ID,1593537846
Saldanha,-33.01,17.94,68.0,56,0,3.36,ZA,1593537846
Kitimat,54.05,-128.65,57.2,62,20,5.82,CA,1593537846
Swan River,52.11,-101.27,68.63,91,93,10.92,CA,1593537846
Surgut,61.25,73.42,55.4,87,40,6.71,RU,1593537846
Huittinen,61.18,22.7,61.0,87,100,8.05,FI,1593537846
Atar,20.52,-13.05,111.13,8,17,7.54,MR,1593537846
Puerto del Rosario,28.5,-13.86,75.2,73,20,17.22,ES,1593537847
Chu,43.6,73.76,76.26,24,76,5.77,KZ,1593537847
Yei,4.09,30.68,69.53,89,66,1.5,SS,1593537847
Bongandanga,1.5,21.05,74.52,93,71,2.64,CD,1593537847
Kampong Thom,12.71,104.89,74.25,97,100,5.1,KH,1593537847
Antalaha,-14.9,50.28,69.37,84,0,9.42,MG,1593537847
Suşehri,40.16,38.09,63.41,70,51,5.5,TR,1593537847
Uramita,6.9,-76.17,79.45,63,100,3.49,CO,1593537847
Shakawe,-18.37,21.85,63.61,27,0,4.72,BW,1593537847
Wailuku,20.89,-156.5,80.6,69,40,14.99,US,1593537847
Disna,55.57,28.2,65.8,76,37,8.43,BY,1593537847
São Gabriel da Cachoeira,-0.13,-67.09,87.8,66,40,5.82,BR,1593537848
Manokwari,-0.87,134.08,79.61,73,95,6.49,ID,1593537848
Flin Flon,54.77,-101.86,57.2,93,90,5.82,CA,1593537848
Mattru,7.62,-11.83,78.71,89,53,5.17,SL,1593537848
Searcy,35.25,-91.74,88.0,74,90,11.41,US,1593537848
Bowen,-20.02,148.23,64.99,93,75,4.7,AU,1593537848
Hatillo,18.49,-66.83,84.0,76,26,3.0,PR,1593537848
Palana,59.12,159.97,48.9,94,100,11.03,RU,1593537848
Bosaso,11.28,49.18,96.46,41,82,6.82,SO,1593537848
Tonj,7.27,28.68,73.6,83,60,1.48,SS,1593537848
Rudnogorsk,57.26,103.75,64.42,65,39,1.1,RU,1593537848
Rabaul,-4.2,152.17,79.18,80,99,6.69,PG,1593537848
San Ignacio,17.16,-89.07,91.4,59,40,11.41,BZ,1593537849
Straumen,63.87,11.3,53.6,66,75,14.99,NO,1593537725
Zaysan,47.47,84.87,60.06,44,100,3.13,KZ,1593537849
Soyo,-6.13,12.37,73.92,79,91,9.57,AO,1593537849
Boromo,11.75,-2.93,93.04,42,82,4.61,BF,1593537849
Poum,-20.23,164.02,69.17,61,0,17.92,NC,1593537666
Mwene-Ditu,-7.0,23.45,77.0,27,92,4.27,CD,1593537849
Adrar,20.5,-10.07,108.7,9,70,6.02,MR,1593537849
Zhalantun,48.0,122.72,61.41,82,42,5.93,CN,1593537849
San Vicente,-26.62,-54.13,59.7,100,100,9.95,AR,1593537849
Asilah,35.47,-6.03,78.8,65,0,4.7,MA,1593537849
Harper,4.38,-7.72,78.13,78,47,11.27,LR,1593537849
Pangody,65.85,74.49,50.85,76,100,12.68,RU,1593537849
Wenatchee,47.42,-120.31,73.0,35,1,21.92,US,1593537850
Karasburg,-28.02,18.75,56.39,33,0,8.32,NA,1593537850
Viedma,-40.81,-63.0,49.26,68,100,6.91,AR,1593537850
Shenjiamen,29.96,122.3,72.05,87,62,3.89,CN,1593537850
Bilibino,68.05,166.44,40.84,81,100,3.74,RU,1593537850
Byron Bay,-28.65,153.62,51.01,100,75,5.82,AU,1593537850
